Listing_ID,Car_Title,Price_Raw,Source_Platform,Date_Scraped,Mileage_Raw
10034,Foton EcoSport GLX,1239805.39,OLX,2024-03-23,75741 km
10035,Honda Ertiga Certified,0,AutoDeal,2024-03-06,
10036,Kia BR-V Sport,1936877.11,Carmudi,2024-03-14,121895 km
10037,isuzu br-v,"1460367,68",Toyota Certified Pre-Owned,2024-03-19,
10038,Toyota Fortuner URGENT,368798.78,Carmudi,2024-03-15,197310 km
10039,TOYOTA FORTUNER,"1322494,63",Toyota Certified Pre-Owned,2024-03-20,137395 km
10040,hyundai mu-x sport,$1238338.73,Facebook Marketplace,2024-03-20,33956 km
10041,geely d-max gxl,703793.92,Honda Cars Pre-Owned,2024-03-02,49448 km
10042,Geely  CR-V  MT,$711568.27,Facebook Marketplace,2024-03-18,
10043,FORD MONTERO SPORT,678464.76,OLX,2024-03-14,189147 km
10044,geely sportage sport,1839589.58 php,Carmudi,2024-03-02,125587 km
10045,GEELY CX-5 AT,1251952.29 php,AutoDeal,2024-03-05,124204 km
10046,mg ecosport le,"1683161,53",Local Dealer,2024-03-01,"164,518 KM"
10047,KIA ACCENT,1928615.66,Carmudi,2024-03-23,34227 km
10048,CHEVROLET MU-X PREOWNED,1869806.68,OLX,2024-03-15,
10049,Kia Montero Sport GXL,1524898.16,Facebook Marketplace,2024-03-17,118360 km
10050,MAZDA MIRAGE,257375.71,Local Dealer,2024-03-08,91577km
10051,MG Civic,1284193.17,AutoDeal,2024-03-03,18879 km
10052,Mazda  D-Max,$700359.64,Carmudi,2024-03-22,81302km
10053,HONDA TUCSON GL,793352.99 php,SM Auto,2024-03-23,53915 km
10054,Foton EcoSport AT,"1993137,52",Honda Cars Pre-Owned,2024-03-22,140486 km
10055,Foton  Fortuner,851099.31 php,AutoDeal,2024-03-16,129938 km
10056,chevrolet mirage,1456093.80,Carmudi,2024-03-02,39893 km
10057,Toyota Vios,273788.35 php,Honda Cars Pre-Owned,2024-03-11,71899 km
10058,MG BR-V G,,Toyota Certified Pre-Owned,2024-03-06,144704 km
10059,mitsubishi br-v urgent,,Toyota Certified Pre-Owned,2024-03-24,249373 km
10060,Isuzu Sportage MT,1031297.98 php,Honda Cars Pre-Owned,2024-03-15,38058 kms
10061,foton cx-5,198147.57,Toyota Certified Pre-Owned,2024-03-24,46958 km
10062,toyota cr-v,$313608.31,Honda Cars Pre-Owned,2024-03-12,64134 km
10063,Chevrolet Fortuner VGT Negotiable,"881752,05",SM Auto,2024-03-19,"123,429 KM"
10064,MG HR-V GL,1008844.46 php,Toyota Certified Pre-Owned,2024-03-21,
10065,Hyundai Ertiga XLE,"1237355,95",Facebook Marketplace,2024-03-20,48003 km
10066,MG FORTUNER,0,AutoDeal,2024-03-04,122173 km
10067,toyota navara xle,$1771307.68,OLX,2024-03-25,"56,850 KM"
10068,MAZDA TUCSON GXL,651351.39,Toyota Certified Pre-Owned,2024-03-13,65790 km
10069,foton navara le,1535664.89,OLX,2024-03-26,139909 km
10070,foton almera preowned,553179.89,SM Auto,2024-03-09,148725 km
10071,Nissan Civic,0,Carmudi,2024-03-27,4523 kms
10072,Kia Xpander,1154281.21,Carmudi,2024-03-14,205721 kms
10073,Geely  HR-V,1999901.63,Local Dealer,2024-03-05,6537 km
10074,Mazda Accent E Nego,294794.02,Toyota Certified Pre-Owned,2024-03-20,196281km
10075,MG Picanto,527764.53,SM Auto,2024-03-19,137486km
10076,HYUNDAI CITY SPORT PREOWNED,1980473.36,SM Auto,2024-03-23,59815 km
10077,FOTON ALMERA,1479385.41,OLX,2024-03-04,197469 km
10078,onda CX-5,64959824,Carmudi,2024-03-22,127756 km
10079,Suzuki Wigo Negotiable,41787132,Local Dealer,2024-03-22,136744 km
10080,Suzuki Innova GX,650811.05,AutoDeal,2024-03-18,135935 km
10081,Chevrolet  CR-V  LE  NEGO,,Facebook Marketplace,2024-03-11,"126,537 KM"
10082,NISSAN NAVARA,888773.42,Facebook Marketplace,2024-03-07,191781 km
10083,Nissan  City,$1729630.80,Carmudi,2024-03-02,"154,180 KM"
10084,HYUNDAI PICANTO MT,1945363.98,Carmudi,2024-03-06,206489 km
10085,Chevrolet Montero Sport AT,773191.28,Carmudi,2024-03-19,50567 km
10086,chevrolet accent,600151.13,Honda Cars Pre-Owned,2024-03-19,49209 km
10087,FOTON MU-X,664234.14,Facebook Marketplace,2024-03-07,135267 km
10088,TOYOTA ECOSPORT,1703854.37,Toyota Certified Pre-Owned,2024-03-14,238052 kms
10089,Isuzu EcoSport GX,$856520.14,Toyota Certified Pre-Owned,2024-03-07,24765 km
10090,mg accent vgt,538351.39,Carmudi,2024-03-08,30888 km
10091,HONDA INNOVA NEGO,834780.32,Carmudi,2024-03-28,176488km
10092,honda cr-v,1493617.61,OLX,2024-03-08,6690 km
10093,ford tucson certified,$1154178.83,Carmudi,2024-03-06,
10094,honda tucson,608788.14,SM Auto,2024-03-18,162951 km
10095,Nissan CX-5 Nego,521463.30,SM Auto,2024-03-16,97403 km
10096,Ford EcoSport GXL,1931972.36,Honda Cars Pre-Owned,2024-03-25,
10097,CHEVROLET MIRAGE RUSH,566025.16,Facebook Marketplace,2024-03-19,172695 kms
10098,KIA FORTUNER,202944.20,Local Dealer,2024-03-21,
10099,toyota br-v le,1427169.76 php,Local Dealer,2024-03-18,18632 km
10100,nissan mu-x,469930.44 php,Carmudi,2024-03-25,32114 kms
10101,suzuki mu-x glx,203318.26,Toyota Certified Pre-Owned,2024-03-05,89437 km
10102,Honda Ertiga Spor,$837283.86,Facebook Marketplace,2024-03-27,181785 km
10103,Suzki Mirage GL,983293.01 php,Local Dealer,2024-03-21,213471 km
10104,Honda BR-V GLX,"853601,25",OLX,2024-03-21,63159 km
10105,chevrolet almera,$388104.50,Toyota Certified Pre-Owned,2024-03-08,
10106,Mazda  Mirage  Nego,,Facebook Marketplace,2024-03-02,171567 km
10107,Chevrolet  Ranger  VGT,$334773.96,Carmudi,2024-03-11,"122,535 KM"
10108,MG BR-V RUSH,1695157.86,Carmudi,2024-03-11,50166 km
10109,HONDA ALMERA,"1980240,99",Carmudi,2024-03-16,43499 km
10110,FORD NAVARA,$741912.52,Facebook Marketplace,2024-03-18,153686 km
10111,suzuki accent,,Carmudi,2024-03-03,124023 km
10112,Geely CityMT RUSH,$1460220.15,SM Auto,2024-03-04,106141 km
10113,Chevrolet  Wigo  XLE,$1555905.39,OLX,2024-03-02,108966 km
10114,Isuzu  Tucson  MT,250198.64,Carmudi,2024-03-10,30239 km
10115,Geely CX-5,"345981,47",Local Dealer,2024-03-27,39397 kms
10116,SUZUKI CX-5,1461917.95,AutoDeal,2024-03-27,219285km
10117,honda civic,$486174.14,Facebook Marketplace,2024-03-20,86463 km
10118,Foton EcoSport,235630.10,Toyota Certified Pre-Owned,2024-03-23,13665 km
10119,Isuzu Ranger GXL,1002778.54,Facebook Marketplace,2024-03-18,16813 km
10120,mazda almera,357919.53,Facebook Marketplace,2024-03-05,221745 km
10121,Honda BR-V Preowned,,AutoDeal,2024-03-16,101883km
10122,ISUZU CX-5,$870012.54,Facebook Marketplace,2024-03-18,184451 km
10123,ford wigo xle,1000293.76,AutoDeal,2024-03-16,207375 km
10124,honda almera,1460861.08,AutoDeal,2024-03-03,34816 km
10125,Mitsubishi Innova,$268970.05,Facebook Marketplace,2024-03-23,119345 km
10126,Ford  Ertiga  XLE  RUSH,1260054.12,Toyota Certified Pre-Owned,2024-03-22,189663 km
10127,Chevrolet Tucson XLE,1713943.02 php,OLX,2024-03-23,33434 km
10128,MITSUBISHI NAVARA,1064453.52,Local Dealer,2024-03-05,10189km
10129,honda sportage urgent,$1813325.51,Facebook Marketplace,2024-03-04,151029 km
10130,toyota sportage,1504934.44,Carmudi,2024-03-09,"236,014 KM"
10131,foton sportage nego,959527.47,SM Auto,2024-03-13,213264 km
10132,Foton irage AT RUSH,1392945.30,Toyota Certified Pre-Owned,2024-03-13,"173,318 KM"
10133,Suzuki H-V,489242.90,AutoDeal,2024-03-07,10965 km
10134,Hyundai Ranger NEGO,1158652.36 php,Carmudi,2024-03-07,137342 km
10135,Geely HR-V,92497076,Honda Cars Pre-Owned,2024-03-11,249164 km
10136,Nissan Xpander GXL,1869006.83 php,Local Dealer,2024-03-17,68753 km
10137,suzuki tucson,,SM Auto,2024-03-09,
10138,mg accent gxl,1267127.05,Carmudi,2024-03-12,20507 kms
10139,CHEVROLET RANGER,398141.56 php,Local Dealer,2024-03-10,79505 kms
10140,ford hr-v certified,"905241,25",AutoDeal,2024-03-11,208489 km
10141,isuzu wigo le nego,$1463115.28,SM Auto,2024-03-25,30780km
10142,mazda wigo nego,1209549.82,AutoDeal,2024-03-03,36213 km
10143,NISSAN XPANDER GLX,"973757,15",SM Auto,2024-03-27,173624 kms
10144,Ford Almera NEGO,0,Local Dealer,2024-03-16,164773 kms
10145,geely sportage,$1475153.00,Honda Cars Pre-Owned,2024-03-09,201802 km
10146,Mitsubishi  Wigo  Certified,575370.20,AutoDeal,2024-03-13,21865 kms
10147,NISSAN XPANDER MT,"837313,10",Carmudi,2024-03-14,227312 km
10148,geely ranger,"1391233,57",Carmudi,2024-03-26,89624km
10149,honda almera at nego,"1563381,29",Carmudi,2024-03-28,169121 km
10150,Suzuki BR-V URGENT,519936.74,SM Auto,2024-03-05,137451 km
10151,Mitsubishi Fortuner GXL,158014.85,OLX,2024-03-10,42939km
10152,uzuki Fortuner GXL,884748.27,Local Dealer,2024-03-02,69086km
10153,NISSAN VIOS AT,1094896.10,Carmudi,2024-03-20,162318 km
10154,Honda Tucson LE,1593568.88,Honda Cars Pre-Owned,2024-03-15,
10155,chevrolet ecosport,238779.62,Local Dealer,2024-03-23,28631 km
10156,suzuki ecosport,1104055.75,OLX,2024-03-27,81651 km
10157,ISUZU SPORTAGE AT,1765135.02,Facebook Marketplace,2024-03-21,
10158,Hyundai  EcoSport  MT,1586982.35,Toyota Certified Pre-Owned,2024-03-23,72197 km
10159,honda d-max gl,1343926.41,Honda Cars Pre-Owned,2024-03-13,
10160,Fton Ranger,,Local Dealer,2024-03-20,124771 km
10161,nissan montero sport,789527.12,Carmudi,2024-03-25,
10162,Mitsubishi Almera,,SM Auto,2024-03-23,221209 km
10163,geely ertiga,"511371,78",OLX,2024-03-03,126045 kms
10164,HONDA PICANTO,1063146.71 php,Local Dealer,2024-03-09,144224 km
10165,geely ecosport le certified,742847.30,SM Auto,2024-03-25,91333 km
10166,HYUNDAI MU-X GLX,1397354.95,Facebook Marketplace,2024-03-18,61329 km
10167,Geely Xpander NEGO,725253.19,OLX,2024-03-06,
10168,Ford  Ertiga,594579.41,Facebook Marketplace,2024-03-06,22320km
10169,Nissan Accent,"773785,61",SM Auto,2024-03-05,199982 km
10170,chevrolet ecosport gl,188601.51,SM Auto,2024-03-03,"131,778 KM"
10171,MAZDA HR-V GXL,1734005.66,SM Auto,2024-03-23,21162 km
10172,MG City,933060.57,Honda Cars Pre-Owned,2024-03-01,52730 km
10173,Hyundai Navara,135722522,SM Auto,2024-03-01,64674 km
10174,Mitsubishi EcoSport VGT Negotiable,1010061.47,AutoDeal,2024-03-13,159627 km
10175,HONDA WIGO GL NEGOTIABLE,1109039.14,OLX,2024-03-02,106347 km
10176,foton ecosport,,Toyota Certified Pre-Owned,2024-03-10,9550 km
10177,Chvrolet EcoSport,"1240409,67",Carmudi,2024-03-05,"55,469 KM"
10178,KIA VIOS GXL CERTIFIED,1418687.25,AutoDeal,2024-03-24,70301 km
10179,Toyota  Tucson,$933368.30,Facebook Marketplace,2024-03-03,4624 km
10180,Chevrole Sportage AT,1825936.35 php,OLX,2024-03-21,"3,422 KM"
10181,ford tucson,$280769.29,AutoDeal,2024-03-23,96914 km
10182,HONDA RANGER,761033.56,Local Dealer,2024-03-25,102326 km
10183,nissan cr-v,"267092,75",Local Dealer,2024-03-27,
10184,MAZDA HR-V,1044816.00,Carmudi,2024-03-20,93811km
10185,Toyota EcoSport LE NEGO,555098.32,AutoDeal,2024-03-22,
10186,Chevrolet Xpander,72371247,Honda Cars Pre-Owned,2024-03-09,171854 km
10187,Honda CX-5 MT Negotiable,1638767.51,Carmudi,2024-03-15,179345 km
10188,Hyundai Tucon,1780408.08 php,Facebook Marketplace,2024-03-28,38476km
10189,MG Montero Spot XLE,367018.88 php,Local Dealer,2024-03-23,69472 km
10190,mazda xpander le certified,"1332894,56",Toyota Certified Pre-Owned,2024-03-26,218324 km
10191,Toyota CX-5 GLX,211476.72,Honda Cars Pre-Owned,2024-03-17,138539 km
10192,CHEVROLET FORTUNER XLE,1719199.99,SM Auto,2024-03-27,8915 km
10193,Hyundai Almera XLE Preowned,"422581,98",Carmudi,2024-03-08,28868 km
10194,Toyota City,39391516,Toyota Certified Pre-Owned,2024-03-22,69374 km
10195,geely wigo nego,$281921.20,SM Auto,2024-03-06,
10196,SUZUKI BR-V GXL NEGO,1925858.25,Facebook Marketplace,2024-03-05,107601 km
10197,ford cx-5 glx,$1983465.52,Toyota Certified Pre-Owned,2024-03-07,107892km
10198,suzuki tucson mt urgent,175808.20,Facebook Marketplace,2024-03-09,194865 km
10199,Fton BR-V,1668664.78 php,Honda Cars Pre-Owned,2024-03-25,200240 km
10200,foton accent,$1640445.94,OLX,2024-03-27,72087 km
10201,Mitsubishi HR-V GLX,932966.56,Toyota Certified Pre-Owned,2024-03-02,144960km
10202,FOTON HR-V LE,1695364.03,OLX,2024-03-10,183947km
10203,Suzui Xpander,1615407.06,Facebook Marketplace,2024-03-13,68224 km
10204,Foton  Mirage,$359546.81,Toyota Certified Pre-Owned,2024-03-06,246943 km
10205,MG Sportage NEGO,163135.06,Toyota Certified Pre-Owned,2024-03-28,184531 km
10206,MAZDA RANGER VGT,"1662832,21",Carmudi,2024-03-07,47838 km
10207,Toyoa Ranger XLE Preowned,,Honda Cars Pre-Owned,2024-03-05,227436 km
10208,hyundai mu-x,198260.79,Toyota Certified Pre-Owned,2024-03-27,147562 km
10209,Suzuki Navra,536357.64 php,Carmudi,2024-03-26,57467 km
10210,GEELY CR-V,527503.73,Honda Cars Pre-Owned,2024-03-24,243315 km
10211,HYUNDAI NAVARA NEGO,888519.70,AutoDeal,2024-03-16,68764 km
10212,Honda Civic GL Negotiabl,1649236.91,OLX,2024-03-11,"216,632 KM"
10213,hyundai montero sport,787311.80,Carmudi,2024-03-02,118113 km
10214,Nissan Navara GXL,$174099.16,SM Auto,2024-03-02,83119 km
10215,MG PICANTO NEGO,1283760.85,AutoDeal,2024-03-10,
10216,suzuki ranger nego,978793.21,OLX,2024-03-05,61836 km
10217,MG CR-V,483256.11,SM Auto,2024-03-02,234579 km
10218,suzuki cr-v le,1080653.55,Carmudi,2024-03-19,"246,001 KM"
10219,Ford CR-V Certified,1175736.58,OLX,2024-03-20,7865 km
10220,Mitsubishi Almera XLE,,Toyota Certified Pre-Owned,2024-03-25,121732 km
10221,Geely Accent Nego,285373.54,SM Auto,2024-03-19,184767 km
10222,Honda  BR-V  VGT,1646954.21,Local Dealer,2024-03-17,213027 km
10223,nissan cx-5 gl,$788819.61,SM Auto,2024-03-21,
10224,foton picanto sport,243237.25,Toyota Certified Pre-Owned,2024-03-08,
10225,nissan cx-5 preowned,123992735,Toyota Certified Pre-Owned,2024-03-11,"137,377 KM"
10226,Nissan  Fortuner  LE  Certified,1136548.49,Honda Cars Pre-Owned,2024-03-23,238469km
10227,honda picanto le preowned,0,Carmudi,2024-03-25,215992 km
10228,Hyundai Vios,1826489.45,SM Auto,2024-03-06,45936 km
10229,KIA MIRAGE URGENT,642951.48,SM Auto,2024-03-12,102320 km
10230,Kia Civic,330401.08,Toyota Certified Pre-Owned,2024-03-13,203600 kms
10231,isuzu wigo,$231886.62,AutoDeal,2024-03-23,"95,822 KM"
10232,mazda cr-v,1265720.05,SM Auto,2024-03-04,"99,530 KM"
10233,Foto Picanto,1997539.65 php,Facebook Marketplace,2024-03-15,88159 km
10234,GEELY FORTUNER RUSH,1836158.79,Honda Cars Pre-Owned,2024-03-17,237992 km
10235,Isuzu Ranger,1234069.94,Local Dealer,2024-03-14,7152 km
10236,geely ranger le,104083173,OLX,2024-03-20,"91,196 KM"
10237,Ford Inova,1145336.76,Toyota Certified Pre-Owned,2024-03-28,159262 km
10238,MG  Almera  VGT,669468.16,OLX,2024-03-02,188630 km
10239,Chevrolet City RUSH,513703.58,Carmudi,2024-03-10,188644 km
10240,mazda xpander,985040.08 php,Carmudi,2024-03-17,"33,391 KM"
10241,Mitsubishi Almera Certified,555745.47,OLX,2024-03-22,168176 km
10242,Toyota Mirage Certified,$556627.23,AutoDeal,2024-03-16,124026 km
10243,Ford Navara,1580882.35,SM Auto,2024-03-09,176253 km
10244,honda xpander gl,377314.56,Toyota Certified Pre-Owned,2024-03-19,23006 km
10245,TOYOTA TUCSON NEGO,1643457.07 php,Facebook Marketplace,2024-03-01,119094 km
10246,Geely Mirage VGT,1718803.26,OLX,2024-03-23,76809 km
10247,Kia City Preowned,1786592.28,Local Dealer,2024-03-25,77013 km
10248,mitsubishi tucson le,584768.58,Carmudi,2024-03-26,203508 kms
10249,geely accent sport,1253103.45,Facebook Marketplace,2024-03-13,
10250,ford ecosport negotiable,0,Facebook Marketplace,2024-03-06,247279 km
10251,MG BR-V,47928702,AutoDeal,2024-03-19,91133 km
10252,Ford D-Max GLX,1199959.21,Honda Cars Pre-Owned,2024-03-05,55832 km
10253,Isuzu City Negotiable,255597.56 php,AutoDeal,2024-03-08,24596 km
10254,MITSUBISHI SPORTAGE,1684615.85,Facebook Marketplace,2024-03-16,219220 km
10255,Mazda  Mirage,1010795.15,SM Auto,2024-03-19,230731 kms
10256,kia vios gl negotiable,701528.69,Local Dealer,2024-03-22,173555 km
10257,MG Montero Sport VGT,742819.64,SM Auto,2024-03-24,200115 km
10258,suzuki br-v rush,$1639429.41,Honda Cars Pre-Owned,2024-03-05,67211 km
10259,kia fortuner at,"1978923,93",Facebook Marketplace,2024-03-03,
10260,Isuzu D-Max LE NEGO,1548943.37,Local Dealer,2024-03-11,35205 km
10261,MG CX-5 AT CERTIFIED,793860.68,Local Dealer,2024-03-15,65989 km
10262,ford cx-5 urgent,407066.70,SM Auto,2024-03-27,199183 kms
10263,Nissan CX-5 AT,297298.95,SM Auto,2024-03-10,165088 km
10264,Geely nnova,1614880.41,AutoDeal,2024-03-02,107259 km
10265,Suzuki  BR-V  Sport,1859166.16,SM Auto,2024-03-04,76728 km
10266,Geely MU-X,1274021.61,Toyota Certified Pre-Owned,2024-03-23,220275 km
10267,Suzuki D-Max Negotiable,1897221.56,Facebook Marketplace,2024-03-17,59147 km
10268,hyundai innova,1824806.03,Honda Cars Pre-Owned,2024-03-21,10309 kms
10269,HYUNDAI CIVIC,1940546.82 php,Carmudi,2024-03-11,238532 km
10270,Kia  Navara,594110.47 php,AutoDeal,2024-03-19,104894 km
10271,Geely B-V,598392.18,Toyota Certified Pre-Owned,2024-03-12,
10272,Mazda Vios,1352477.91,AutoDeal,2024-03-14,79919km
10273,FORD ERTIGA NEGOTIABLE,$1273226.40,SM Auto,2024-03-01,201022km
10274,Geely EcoSport GXL,1750353.09,Local Dealer,2024-03-28,145785 km
10275,GEELY CIVIC,52086685,Facebook Marketplace,2024-03-03,8039km
10276,hyundai picanto urgent,724158.93,Local Dealer,2024-03-12,71890 km
10277,Ford Fortuner GL,0,Facebook Marketplace,2024-03-07,215549 kms
10278,Ford MU-X port,,SM Auto,2024-03-24,"197,717 KM"
10279,Nissan CR-V,985261.09,Toyota Certified Pre-Owned,2024-03-09,51873 km
10280,mitsubishi mirage gl,1959939.66 php,OLX,2024-03-09,182592 km
10281,Geely  CX-5  GLX,170437696,SM Auto,2024-03-15,"106,761 KM"
10282,Kia D-Max XLE RUSH,1316297.79,Toyota Certified Pre-Owned,2024-03-25,230464 km
10283,Geely lmera LE,1865320.78,Facebook Marketplace,2024-03-24,"13,330 KM"
10284,honda cr-v at,468143.93,SM Auto,2024-03-16,39243 km
10285,FordCX-5 LE Nego,1111318.76,Facebook Marketplace,2024-03-07,8780 km
10286,MG Picanto Negotiable,,Honda Cars Pre-Owned,2024-03-23,204644km
10287,Honda Xpander NEGO,160237043,OLX,2024-03-12,227374 km
10288,kia cr-v certified,"996123,55",AutoDeal,2024-03-04,75691 kms
10289,Ford  Tucson,$551533.27,Toyota Certified Pre-Owned,2024-03-28,5284 km
10290,Kia EcoSport,$1334252.54,Facebook Marketplace,2024-03-05,"20,895 KM"
10291,Geely  Civic,1150267.86,Toyota Certified Pre-Owned,2024-03-26,238600 km
10292,TOYOTA NAVARA,1546458.27,Facebook Marketplace,2024-03-12,68849 km
10293,Honda MU-X AT,,SM Auto,2024-03-05,
10294,mitsubishi cr-v,895903.84 php,Facebook Marketplace,2024-03-27,83563 km
10295,nissan innova mt,$1479753.73,Local Dealer,2024-03-23,"126,797 KM"
10296,Mazda CR-V,"287247,23",AutoDeal,2024-03-14,238223 km
10297,Mazda MUX Preowned,$1242328.61,Honda Cars Pre-Owned,2024-03-08,22033 km
10298,CHEVROLET FORTUNER VGT URGENT,1913391.30,Carmudi,2024-03-26,76740 km
10299,Foton Innova GL,1645126.53,Carmudi,2024-03-23,34783 km
10300,Mazda  CX-5  LE,"1814301,85",Honda Cars Pre-Owned,2024-03-19,190066 km
10301,Mazda Tucson Negotiable,1351777.95,AutoDeal,2024-03-16,
10302,Isuzu  BR-V  Negotiable,186592791,Toyota Certified Pre-Owned,2024-03-15,86798 km
10303,Kia Mirage AT Certified,483002.05,SM Auto,2024-03-14,136119 kms
10304,geely wigo mt nego,1392312.33,Toyota Certified Pre-Owned,2024-03-15,81813 km
10305,Hyundai Monero Sport VGT,1867530.40,Local Dealer,2024-03-21,233626 km
10306,geely ertiga,1912636.33 php,Facebook Marketplace,2024-03-01,23496 km
10307,suzuki mu-x,1573421.87,Honda Cars Pre-Owned,2024-03-28,153916 km
10308,kia cr-v,1773607.71,OLX,2024-03-24,42541 km
10309,Toyota Navara GLX Preowned,1433207.35,Honda Cars Pre-Owned,2024-03-10,179599 km
10310,isuzu fortuner le,250303.36,OLX,2024-03-07,222209 km
10311,Isuzu Accent,897203.03,SM Auto,2024-03-06,15708 kms
10312,CHEVROLET RANGER,"925925,54",Facebook Marketplace,2024-03-28,183514 km
10313,MG FORTUNER AT,1346295.11,Local Dealer,2024-03-05,240562 km
10314,mitsubishi montero sport,1698791.46,Facebook Marketplace,2024-03-01,115476 km
10315,foton picanto at,1497671.04,SM Auto,2024-03-25,55123 km
10316,Nissan Picanto NEGO,1926176.50,SM Auto,2024-03-13,10730 km
10317,kia city sport nego,1283555.70,Toyota Certified Pre-Owned,2024-03-12,"202,844 KM"
10318,Mazda Ranger,"1559479,13",Toyota Certified Pre-Owned,2024-03-06,132755 km
10319,Honda BR-V,261366.54,AutoDeal,2024-03-03,186585km
10320,ford ertiga,1393274.57,OLX,2024-03-26,"117,143 KM"
10321,Kia Innova Certified,"1196509,13",Toyota Certified Pre-Owned,2024-03-08,13564 km
10322,Chevrolet BR-V NEGO,"250066,42",Facebook Marketplace,2024-03-17,143745 km
10323,hyundai ecosport,,OLX,2024-03-17,117882km
10324,mitsubishi navara,1781026.12,SM Auto,2024-03-02,159017 km
10325,honda accent preowned,1462736.16,Carmudi,2024-03-10,47299 km
10326,KIA MIRAGE VGT,155318.31,Carmudi,2024-03-05,18962 km
10327,Geely Fortuner,645677.20,OLX,2024-03-19,172636 km
10328,Nissan  EcoSport  Negotiable,1496932.07 php,SM Auto,2024-03-05,40901km
10329,MITSUBISHI RANGER,1360599.83,AutoDeal,2024-03-27,238998 km
10330,Honda  CX-5  GXL  NEGO,1621331.34,SM Auto,2024-03-08,236519 km
10331,hyundai almera preowned,286402.18,Local Dealer,2024-03-02,"126,097 KM"
10332,Isuzu  Mirage  GL,"413453,28",SM Auto,2024-03-20,43963 km
10333,Nissan  Civic  XLE,314102.42,Facebook Marketplace,2024-03-22,77276 km
10334,Hond CX-5 MT,276195.59,Local Dealer,2024-03-13,"126,550 KM"
10335,Foton D-Ma,"938172,29",Honda Cars Pre-Owned,2024-03-10,108468 km
10336,MG Raner AT,1091856.08,Honda Cars Pre-Owned,2024-03-16,26481 km
10337,kia ranger gl,1632817.16,Toyota Certified Pre-Owned,2024-03-19,71453 km
10338,Toyota MU-X LE,$1695883.16,Honda Cars Pre-Owned,2024-03-21,
10339,geely innova preowned,1985743.10 php,Toyota Certified Pre-Owned,2024-03-21,79305 km
10340,MG CX-5,1534024.05 php,AutoDeal,2024-03-21,211994 km
10341,Geely Almera Nego,"913161,11",Honda Cars Pre-Owned,2024-03-01,20325 km
10342,mg accent,186104.33,Carmudi,2024-03-23,106284km
10343,Honda Vios LE Nego,"862503,05",Local Dealer,2024-03-15,53309 km
10344,Foton  Navara  NEGO,94578015,Facebook Marketplace,2024-03-21,209777 km
10345,mg hr-v gxl,1073311.15,Local Dealer,2024-03-08,59705 km
10346,toyota civic le,1803169.89,OLX,2024-03-23,105754 km
10347,toyota montero sport glx rush,$655106.94,AutoDeal,2024-03-07,99957 km
10348,MITSUBISHI MIRAGE,"1066554,10",Facebook Marketplace,2024-03-05,91101 km
10349,geely picanto,0,SM Auto,2024-03-18,209161 km
10350,Toyota  Mirage,772022.82,Local Dealer,2024-03-23,215896 km
10351,Suzuki CX-5,1100375.88,SM Auto,2024-03-17,137660km
10352,ford cr-v mt,1078670.20,OLX,2024-03-09,151489 km
10353,MG CR-V,1015414.29,Facebook Marketplace,2024-03-22,123016 kms
10354,azda HR-V LE NEGO,651282.91,OLX,2024-03-27,117534km
10355,Mitsubishi Picanto,1943195.70,OLX,2024-03-15,73021 km
10356,HONDA MONTERO SPORT GXL,1040962.17,AutoDeal,2024-03-15,85612 km
10357,honda sportage nego,,Carmudi,2024-03-07,37995 km
10358,Suzuki Accent VGT,1305840.55,Honda Cars Pre-Owned,2024-03-16,4818 km
10359,Mitsubihi Ranger AT,146476499,SM Auto,2024-03-27,
10360,Mitsubishi Ertiga,1887406.28,Facebook Marketplace,2024-03-10,
10361,isuzu montero sport le certified,1793731.71,SM Auto,2024-03-17,167337 km
10362,Nissan  Mirage  Preowned,,Carmudi,2024-03-13,96504 km
10363,ISUZU MIRAGE AT,980750.14,Toyota Certified Pre-Owned,2024-03-17,232475km
10364,Geely Vios AT,728733.39,AutoDeal,2024-03-03,152678 kms
10365,Kia Tucon Sport,874175.42,Facebook Marketplace,2024-03-13,212524 km
10366,MITSUBISHI WIGO CERTIFIED,"462783,27",Facebook Marketplace,2024-03-21,247595km
10367,Isuzu Vios Preowned,814834.31,AutoDeal,2024-03-10,191501 km
10368,isuzu fortuner,657651.58,Toyota Certified Pre-Owned,2024-03-06,16642 kms
10369,MAZDA ALMERA,$1173322.00,Local Dealer,2024-03-02,168433 km
10370,Mazda Navara,1260697.67,Honda Cars Pre-Owned,2024-03-16,187951 km
10371,geely mirage mt nego,1241913.39,AutoDeal,2024-03-21,180950 kms
10372,Nissan Alera,1742284.40,Facebook Marketplace,2024-03-11,87023 kms
10373,Toyota Tucson T,"1462786,55",SM Auto,2024-03-03,71007km
10374,mazda picanto mt nego,"1938684,38",OLX,2024-03-03,144518 km
10375,Suzuki Sportage,"625514,34",Facebook Marketplace,2024-03-08,"173,486 KM"
10376,nissan ranger,1680727.95,OLX,2024-03-01,91181 km
10377,Hyundai Fortuner Nego,$564280.13,AutoDeal,2024-03-12,
10378,Chevrolet Xpander,1231718.93,OLX,2024-03-18,"194,799 KM"
10379,Mazda City AT,973510.26,OLX,2024-03-19,188102km
10380,Geely  BR-V  Negotiable,163663.71,Facebook Marketplace,2024-03-22,33073 km
10381,HYUNDAI ALMERA,370872.60,Local Dealer,2024-03-16,194401 km
